@C4Train Method : FANN_TRAIN_INCREMENTAL 
00000001 : 0.034933       : 190 
00000250 : 0.031971       : 169 
00000500 : 0.031971       : 169 
00000750 : 0.031971       : 169 
00001000 : 0.031971       : 169 
00001250 : 0.031971       : 169 
00001500 : 0.031971       : 169 
00001750 : 0.031971       : 169 
00002000 : 0.031971       : 169 
@C4Train Method : FANN_TRAIN_BATCH 
00000001 : 0.290932       : 2238 
00000250 : 0.031529       : 160 
00000500 : 0.031110       : 161 
00000750 : 0.031001       : 162 
00001000 : 0.030956       : 163 
00001250 : 0.030956       : 163 
00001500 : 0.030954       : 163 
00001750 : 0.030943       : 163 
00002000 : 0.030922       : 162 
@C4Train Method : FANN_TRAIN_RPROP 
00000001 : 0.290932       : 2238 
00000250 : 0.030964       : 161 
00000500 : 0.030939       : 162 
00000750 : 0.030964       : 161 
00001000 : 0.030939       : 162 
00001250 : 0.030965       : 161 
00001500 : 0.030939       : 162 
00001750 : 0.030964       : 161 
00002000 : 0.030939       : 162 
@C4Train Method : FANN_TRAIN_QUICKPROP 
00000001 : 0.290932       : 2238 
00000250 : 0.030964       : 161 
00000500 : 0.030939       : 162 
00000750 : 0.030939       : 162 
00001000 : 0.030939       : 162 
00001250 : 0.030939       : 162 
00001500 : 0.030939       : 162 
00001750 : 0.030964       : 161 
00002000 : 0.030964       : 161 
@C4Train Method : FANN_TRAIN_SARPROP 
00000001 : 0.290932       : 2238 
00000250 : 0.369377       : 883 
00000500 : 0.342834       : 806 
00000750 : 0.331415       : 755 
00001000 : 0.325779       : 744 
00001250 : 0.343379       : 808 
00001500 : 0.349565       : 820 
00001750 : 0.362632       : 831 
00002000 : 0.325406       : 743 
@C1Best Train Method : FANN_TRAIN_BATCH 
